date,open,high,low,close,volume
2025-06-09,"38,035.50","38,178.50","38,032.00","38,072.00",
2025-06-08,"38,035.00","38,046.50","38,027.00","38,030.50",
2025-06-06,"37,590.44","37,756.15","37,590.42","37,741.61",
2025-06-05,"37,590.39","37,732.88","37,527.88","37,554.49",
2025-06-04,"37,686.66","37,868.42","37,672.47","37,747.45",
2025-06-03,"37,598.31","37,729.45","37,446.81","37,446.81",
2025-06-02,"37,651.18","37,651.18","37,320.72","37,470.67",
2025-06-01,"37,569.00","37,621.50","37,569.00","37,617.50",
2025-05-30,"37,912.49","38,114.47","37,748.17","37,965.10",
2025-05-29,"38,046.97","38,454.07","38,035.32","38,432.98",
2025-05-28,"38,094.79","38,178.73","37,709.71","37,722.40",
2025-05-27,"37,523.37","37,769.05","37,411.68","37,724.11",
2025-05-26,"37,209.26","37,531.53","37,167.01","37,531.53",
2025-05-25,"37,206.50","37,241.50","37,206.50","37,219.00",
2025-05-23,"37,161.74","37,294.22","37,111.63","37,160.47",
2025-05-22,"36,931.89","37,100.45","36,855.83","36,985.87",
2025-05-21,"37,590.15","37,659.94","37,298.98","37,298.98",
2025-05-20,"37,723.60","37,921.81","37,455.70","37,529.49",
2025-05-19,"37,572.36","37,656.23","37,445.93","37,498.63",
2025-05-18,"37,643.50","37,648.00","37,600.00","37,607.50",
2025-05-16,"37,748.58","37,786.43","37,479.21","37,753.72",
2025-05-15,"37,832.36","37,876.84","37,633.36","37,755.51",
2025-05-14,"38,199.03","38,325.88","37,851.80","38,128.13",
2025-05-13,"38,149.53","38,494.06","38,124.20","38,183.26",
2025-05-12,"37,697.28","37,726.44","37,417.39","37,644.26",
2025-05-09,"37,332.57","37,557.41","37,219.03","37,503.33",
2025-05-08,"36,863.38","36,977.35","36,606.71","36,928.63",
2025-05-07,"36,903.66","36,942.38","36,731.39","36,779.66",
2025-05-02,"36,636.55","36,976.51","36,606.58","36,830.69",
2025-05-01,"36,197.04","36,544.15","36,040.05","36,452.30",
2025-04-30,"35,946.88","36,056.52","35,793.33","36,045.38",
2025-04-28,"35,962.80","36,075.26","35,773.49","35,839.99",
2025-04-25,"35,387.67","35,835.28","35,337.98","35,705.74",
2025-04-24,"35,194.71","35,287.95","34,960.65","35,039.15",
2025-04-23,"34,787.93","35,142.12","34,682.28","34,868.63",
2025-04-22,"34,111.14","34,340.57","34,109.85","34,220.60",
2025-04-21,"34,556.23","34,610.60","34,216.98","34,279.92",
2025-04-18,"34,353.88","34,758.97","34,224.57","34,730.28",
2025-04-17,"33,987.01","34,379.13","33,931.53","34,377.60",
2025-04-16,"34,249.82","34,329.27","33,658.47","33,920.40",
2025-04-15,"34,349.01","34,459.00","34,266.31","34,267.54",
2025-04-14,"34,006.37","34,325.59","33,887.70","33,982.36",
2025-04-11,"33,951.25","33,953.29","32,626.58","33,585.58",
2025-04-10,"32,321.21","34,639.39","32,320.66","34,609.00",
2025-04-09,"32,529.23","32,565.84","31,258.18","31,714.03",
2025-04-08,"31,729.11","33,257.16","31,703.69","33,012.58",
2025-04-07,"33,154.97","33,158.87","30,792.74","31,136.58",
2025-04-04,"34,304.66","34,320.11","33,259.76","33,780.58",
2025-04-03,"35,041.67","35,044.73","34,102.00","34,735.93",
2025-04-02,"35,751.02","35,778.90","35,426.33","35,725.87",
2025-04-01,"35,961.19","36,052.54","35,537.86","35,624.48",
2025-03-31,"36,440.18","36,440.18","35,541.72","35,617.56",
2025-03-28,"37,357.52","37,359.95","36,864.93","37,120.33",
2025-03-27,"37,750.66","37,859.06","37,556.75","37,799.97",
2025-03-26,"38,106.66","38,220.69","37,873.28","38,027.29",
2025-03-25,"37,953.15","38,115.65","37,686.26","37,780.54",
2025-03-24,"37,841.68","37,841.68","37,608.49","37,608.49",
2025-03-21,"37,619.37","37,968.02","37,619.37","37,677.06",
2025-03-19,"37,839.39","38,128.58","37,751.88","37,751.88",
2025-03-18,"37,868.57","38,004.20","37,822.87","37,845.42",
2025-03-17,"37,453.83","37,563.27","37,377.55","37,396.52",
2025-03-14,"36,606.78","37,154.39","36,594.04","37,053.10",
2025-03-13,"37,081.64","37,326.27","36,776.94","36,790.03",
2025-03-12,"36,763.10","36,956.33","36,658.86","36,819.09",
2025-03-11,"36,584.37","36,793.11","35,987.13","36,793.11",
2025-03-10,"36,972.59","37,113.48","36,705.02","37,028.27",
2025-03-07,"37,198.30","37,221.65","36,813.62","36,887.17",
2025-03-06,"37,654.95","37,874.38","37,580.88","37,704.93",
2025-03-05,"37,345.74","37,606.34","37,178.72","37,418.24",
2025-03-04,"37,532.01","37,587.49","36,816.16","37,331.18",
2025-03-03,"37,617.50","37,827.62","37,372.26","37,785.47",
2025-02-28,"37,853.48","37,925.28","36,840.12","37,155.50",
2025-02-27,"38,251.11","38,369.96","38,061.94","38,256.17",
2025-02-26,"38,143.68","38,175.24","37,742.76","38,142.37",
2025-02-25,"38,359.67","38,485.95","38,131.79","38,237.79",
2025-02-21,"38,523.07","38,808.81","38,456.53","38,776.94",
